17/03/15 19:04:32 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 19:04:33 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 19:04:34 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 19:04:34 INFO mapreduce.JobSubmitter: number of splits:20
17/03/15 19:04:35 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1187
17/03/15 19:04:35 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1187
17/03/15 19:04:35 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1187/
17/03/15 19:04:35 INFO mapreduce.Job: Running job: job_1488988448355_1187
17/03/15 19:12:52 INFO mapreduce.Job: Job job_1488988448355_1187 running in uber mode : false
17/03/15 19:12:52 INFO mapreduce.Job:  map 0% reduce 0%
17/03/15 19:26:57 INFO mapreduce.Job:  map 1% reduce 0%
17/03/15 19:27:03 INFO mapreduce.Job:  map 2% reduce 0%
17/03/15 19:27:09 INFO mapreduce.Job:  map 3% reduce 0%
17/03/15 19:27:14 INFO mapreduce.Job:  map 4% reduce 0%
17/03/15 19:27:19 INFO mapreduce.Job:  map 5% reduce 0%
17/03/15 19:27:25 INFO mapreduce.Job:  map 6% reduce 0%
17/03/15 19:27:30 INFO mapreduce.Job:  map 7% reduce 0%
17/03/15 19:27:36 INFO mapreduce.Job:  map 8% reduce 0%
17/03/15 19:27:41 INFO mapreduce.Job:  map 9% reduce 0%
17/03/15 19:27:46 INFO mapreduce.Job:  map 10% reduce 0%
17/03/15 19:27:51 INFO mapreduce.Job:  map 11% reduce 0%
17/03/15 19:27:56 INFO mapreduce.Job:  map 12% reduce 0%
17/03/15 19:28:01 INFO mapreduce.Job:  map 13% reduce 0%
17/03/15 19:28:07 INFO mapreduce.Job:  map 14% reduce 0%
17/03/15 19:28:12 INFO mapreduce.Job:  map 15% reduce 0%
17/03/15 19:28:17 INFO mapreduce.Job:  map 16% reduce 0%
17/03/15 19:28:23 INFO mapreduce.Job:  map 17% reduce 0%
17/03/15 19:28:28 INFO mapreduce.Job:  map 18% reduce 0%
17/03/15 19:28:33 INFO mapreduce.Job:  map 19% reduce 0%
17/03/15 19:28:39 INFO mapreduce.Job:  map 20% reduce 0%
17/03/15 19:28:44 INFO mapreduce.Job:  map 21% reduce 0%
17/03/15 19:28:49 INFO mapreduce.Job:  map 22% reduce 0%
17/03/15 19:28:54 INFO mapreduce.Job:  map 23% reduce 0%
17/03/15 19:28:59 INFO mapreduce.Job:  map 24% reduce 0%
17/03/15 19:29:02 INFO mapreduce.Job:  map 25% reduce 0%
17/03/15 19:29:05 INFO mapreduce.Job:  map 26% reduce 0%
17/03/15 19:29:08 INFO mapreduce.Job:  map 27% reduce 0%
17/03/15 19:29:12 INFO mapreduce.Job:  map 28% reduce 0%
17/03/15 19:29:18 INFO mapreduce.Job:  map 29% reduce 0%
17/03/15 19:29:23 INFO mapreduce.Job:  map 30% reduce 0%
17/03/15 19:29:28 INFO mapreduce.Job:  map 31% reduce 0%
17/03/15 19:29:33 INFO mapreduce.Job:  map 32% reduce 0%
17/03/15 19:29:38 INFO mapreduce.Job:  map 33% reduce 0%
17/03/15 19:29:42 INFO mapreduce.Job:  map 34% reduce 0%
17/03/15 19:29:46 INFO mapreduce.Job:  map 35% reduce 0%
17/03/15 19:29:48 INFO mapreduce.Job:  map 36% reduce 0%
17/03/15 19:29:50 INFO mapreduce.Job:  map 37% reduce 0%
17/03/15 19:29:53 INFO mapreduce.Job:  map 38% reduce 0%
17/03/15 19:29:55 INFO mapreduce.Job:  map 39% reduce 0%
17/03/15 19:29:57 INFO mapreduce.Job:  map 40% reduce 0%
17/03/15 19:30:00 INFO mapreduce.Job:  map 41% reduce 0%
17/03/15 19:30:03 INFO mapreduce.Job:  map 42% reduce 0%
17/03/15 19:30:06 INFO mapreduce.Job:  map 43% reduce 0%
17/03/15 19:30:10 INFO mapreduce.Job:  map 43% reduce 7%
17/03/15 19:30:11 INFO mapreduce.Job:  map 44% reduce 7%
17/03/15 19:30:17 INFO mapreduce.Job:  map 45% reduce 7%
17/03/15 19:30:22 INFO mapreduce.Job:  map 46% reduce 7%
17/03/15 19:30:27 INFO mapreduce.Job:  map 47% reduce 7%
17/03/15 19:30:32 INFO mapreduce.Job:  map 48% reduce 7%
17/03/15 19:30:36 INFO mapreduce.Job:  map 49% reduce 7%
17/03/15 19:30:41 INFO mapreduce.Job:  map 50% reduce 7%
17/03/15 19:30:46 INFO mapreduce.Job:  map 51% reduce 7%
17/03/15 19:30:49 INFO mapreduce.Job:  map 52% reduce 7%
17/03/15 19:30:52 INFO mapreduce.Job:  map 53% reduce 7%
17/03/15 19:30:54 INFO mapreduce.Job:  map 54% reduce 7%
17/03/15 19:30:56 INFO mapreduce.Job:  map 55% reduce 7%
17/03/15 19:30:58 INFO mapreduce.Job:  map 56% reduce 7%
17/03/15 19:31:00 INFO mapreduce.Job:  map 57% reduce 7%
17/03/15 19:31:01 INFO mapreduce.Job:  map 58% reduce 8%
17/03/15 19:31:03 INFO mapreduce.Job:  map 59% reduce 8%
17/03/15 19:31:04 INFO mapreduce.Job:  map 59% reduce 12%
17/03/15 19:31:06 INFO mapreduce.Job:  map 60% reduce 12%
